concept_code,grade_level,topic_category,concept_name_vn,concept_description,mastery_question,common_misconceptions
FUN-G8-04,8,Hàm số,"Hàm số bậc nhất y = ax + b","Xác định hệ số góc a, tung độ gốc b và tính đồng biến (a>0), nghịch biến (a<0).","Hàm số y = -2x+3 đồng biến hay nghịch biến?","1. Xác định sai a (VD: y = 3 - 2x thì nói a = 3). 2. Quên điều kiện a khác 0. 3. Lẫn lộn giữa đồng biến (tăng) và nghịch biến (giảm)."
FUN-G7-01,7,Tọa độ,"Mặt phẳng tọa độ Oxy","Nhận biết Trục hoành Ox (nằm ngang), Trục tung Oy (thẳng đứng), Gốc O(0;0), 4 góc phần tư.","Trục tung là trục dọc hay trục ngang?","1. Ghi ngược tên trục (Ox thẳng đứng, Oy nằm ngang). 2. Đánh số trên trục tọa độ không đều khoảng cách. 3. Quên đánh mũi tên chiều dương trên 2 trục."
FUN-G7-02,7,Tọa độ,"Xác định điểm M(x; y) trên Oxy","Từ tọa độ cho trước, dóng vuông góc để chấm điểm M trên mặt phẳng (Hoành trước, Tung sau).","Biểu diễn điểm A(2; -3) trên Oxy.","1. Bệnh kinh niên: Tìm x trên trục Oy và tìm y trên trục Ox (Đổi chỗ tọa độ). 2. Dóng đường xiên thay vì đường vuông góc. 3. Các điểm nằm trên trục (như M(0;3)) bị chấm nhầm vào gốc O hoặc trục Ox."
FUN-G7-03,7,Tọa độ,"Tìm tọa độ của một điểm trên mặt phẳng","Từ điểm đã chấm, dóng vuông góc xuống Ox lấy x, dóng sang Oy lấy y.","Đọc tọa độ của điểm A trên hình vẽ.","1. Đọc y trước x sau (Ghi là A(y; x)). 2. Bỏ qua dấu trừ ở chiều âm của trục tọa độ. 3. Viết tọa độ không có dấu ngoặc tròn hoặc thiếu dấu chấm phẩy (;)."
FUN-G7-04,7,Đồ thị,"Vẽ đồ thị hàm số tỉ lệ thuận y = ax","Đồ thị là đường thẳng đi qua gốc tọa độ O(0;0) và một điểm A(1; a).","Vẽ đồ thị hàm số y = 3x","1. Cố tìm 2 điểm khác O nhưng tính toán sai. 2. Vẽ đường cong đi qua các điểm. 3. Chỉ vẽ tia từ O thay vì đường thẳng kéo dài về 2 phía."
FUN-G6-01,6,Trục số,"Trục số nguyên","Hiểu cấu tạo trục số: điểm 0, chiều dương (phải), chiều âm (trái) và đơn vị đo.","Số -3 nằm bên trái hay phải số 0?","1. Đánh số âm nằm bên phải số 0. 2. Khoảng cách giữa các đơn vị không bằng nhau. 3. Không vẽ mũi tên chỉ chiều dương."
FUN-G6-02,6,Trục số,"Biểu diễn số trên trục số","Đánh dấu vị trí của một số nguyên hoặc phân số trên trục.","Biểu diễn số -3/2 trên trục số.","1. Không biết chia nhỏ 1 đơn vị thành các phần bằng nhau đối với phân số. 2. Biểu diễn sai về phía chiều dương thay vì chiều âm. 3. Xác định sai vị trí tương đối (VD: cho rằng -3/2 nằm giữa -2 và -3)."
FUN-G6-03,6,Trục số,"Khoảng cách giữa 2 điểm trên trục số","Tính độ dài đoạn thẳng AB trên trục số bằng trị tuyệt đối |a - b|.","Khoảng cách giữa điểm -2 và 3 là bao nhiêu?","1. Tính ra khoảng cách âm (-2 - 3 = -5 kết luận khoảng cách là -5). 2. Lấy 3 - 2 = 1. 3. Không sử dụng dấu giá trị tuyệt đối để đảm bảo độ dài luôn dương."
QUA-G9-01,9,Phương trình Bậc 2,"Xác định hệ số a, b, c","Nhận diện đúng các hệ số của PT ax^2 + bx + c = 0 (đặc biệt khi có tham số m hoặc khuyết hạng tử).","Xác định a, b, c của PT: -x^2 + (m-1)x + 3 = 0","1. Bỏ quên dấu trừ trước hệ số (VD: a = 1 thay vì -1). 2. Xác định c thiếu phần hằng số chứa m. 3. Không đưa PT về đúng chuẩn = 0 trước khi lấy hệ số."
QUA-G9-02,9,Phương trình Bậc 2,"Tính Biệt thức Delta","Áp dụng công thức Delta = b^2 - 4ac để đánh giá số nghiệm.","Tính Delta của PT: 2x^2 - 3x - 5 = 0","1. LỖI KINH ĐIỂN: b = -3 tính b^2 thành -3^2 = -9 (thay vì (-3)^2 = 9). 2. Tính sai dấu của -4ac khi a hoặc c âm. 3. Nhầm công thức thành b^2 + 4ac."
QUA-G9-03,9,Phương trình Bậc 2,"Tính Biệt thức Delta phẩy","Sử dụng khi b chẵn (b = 2b'), tính Delta' = b'^2 - ac giúp số liệu nhỏ hơn.","Tính Delta' của PT: x^2 - 4x + 1 = 0","1. Quên chia 2 để lấy b' (dùng b tính luôn). 2. Vẫn dùng -4ac thay vì -ac trong công thức. 3. Tính Delta' nhưng xét điều kiện nghiệm lại ghi là Delta."
QUA-G9-04,9,Phương trình Bậc 2,"Điều kiện về số nghiệm của PT","Xét dấu Delta để kết luận: >0 (2 nghiệm phân biệt), =0 (nghiệm kép), <0 (vô nghiệm).","Tìm m để PT x^2 - 2x + m = 0 có nghiệm kép.","1. Đề bài yêu cầu 'có 2 nghiệm' nhưng chỉ xét Delta > 0 (quên trường hợp = 0). 2. Giải sai bất PT khi tìm m từ Delta (VD: -4m > -4 => m > 1 sai chiều). 3. Không xét điều kiện a khác 0."
QUA-G9-05,9,Phương trình Bậc 2,"Công thức nghiệm tổng quát","Tính nghiệm x1, x2 dựa vào Delta và hệ số a, b.","Giải PT: x^2 - 5x + 6 = 0","1. Quên đổi dấu b (viết b thay vì -b trong tử số). 2. Mẫu số ghi là a thay vì 2a. 3. Viết gộp x = (-b \pm Delta) / 2a (quên căn bậc 2 của Delta)."
QUA-G9-06,9,Hệ thức Vi-ét,"Định lý Vi-ét (Tính Tổng và Tích)","Tính S = x1 + x2 = -b/a và P = x1.x2 = c/a mà không cần giải PT.","Tính S và P của PT: 3x^2 + 7x + 2 = 0","1. Tính S quên đổi dấu của b (S = b/a). 2. Lấy nhầm P = -c/a. 3. Viết Vi-ét nhưng quên ghi câu 'Vì Delta > 0 nên PT có 2 nghiệm...'"
QUA-G9-07,9,Hệ thức Vi-ét,"Biến đổi biểu thức đối xứng cơ bản","Thêm bớt hạng tử để đưa x1^2 + x2^2 về dạng S^2 - 2P.","Biểu diễn x1^2 + x2^2 theo m.","1. SAI LẦM CHÍNH: Cho rằng x1^2 + x2^2 = (x1 + x2)^2 (Quên trừ đi 2P). 2. Ghi nhầm thành S^2 + 2P. 3. Bình phương S bị sai dấu."
QUA-G9-08,9,Hệ thức Vi-ét,"Biến đổi bình phương của Hiệu","Đưa (x1 - x2)^2 về dạng S^2 - 4P để sử dụng Vi-ét.","Tính giá trị của (x1 - x2)^2","1. Khai triển sai thành x1^2 - x2^2. 2. Thu gọn thành S^2 - 2P (nhầm với tổng bình phương). 3. Tính ra kết quả âm (Bình phương không thể âm)."
QUA-G9-09,9,Hệ thức Vi-ét,"Biến đổi biểu thức chứa phân số","Quy đồng mẫu số để tạo ra S ở tử số và P ở mẫu số.","Biểu diễn 1/x1 + 1/x2 theo Vi-ét","1. Quy đồng sai, cộng trực tiếp mẫu: 1/(x1+x2). 2. Quên đặt điều kiện x1, x2 khác 0 (P khác 0) trước khi chia. 3. Tính S/P sai do chia hai phân số."
QUA-G9-10,9,Hệ thức Vi-ét,"Biến đổi tổng lập phương","Sử dụng HĐT để đưa x1^3 + x2^3 về dạng S^3 - 3SP.","Tính x1^3 + x2^3","1. Khai triển sai thành (x1+x2)(x1^2 + x1.x2 + x2^2). 2. Ghi sai công thức thành S^3 - 3P. 3. Rối loạn dấu khi S là số âm."
QUA-G9-11,9,Hệ thức Vi-ét,"Xét dấu các nghiệm của PT Bậc 2","Sử dụng điều kiện của Delta, S, P để tìm m sao cho PT có 2 nghiệm cùng dấu, trái dấu, dương, âm.","Tìm m để PT có 2 nghiệm dương phân biệt.","1. Xét thiếu điều kiện Delta > 0. 2. 2 nghiệm trái dấu chỉ cần P < 0 nhưng học sinh giải cồng kềnh thêm Delta > 0. 3. 2 nghiệm âm thì S < 0 nhưng học sinh ghi S > 0."
QUA-G9-12,9,Hệ thức Vi-ét,"Lập PT khi biết 2 nghiệm","Sử dụng định lý đảo X^2 - SX + P = 0 để tìm 2 số khi biết tổng và tích.","Tìm 2 số có tổng là 5, tích là 6.","1. Viết sai dấu hệ số S (X^2 + SX + P = 0). 2. Quên xét điều kiện tồn tại 2 số là S^2 - 4P >= 0. 3. Lẫn lộn giữa biến x và nghiệm."
QUA-G8-01,8,Hằng đẳng thức,"Bình phương của một tổng/hiệu","Khai triển (A \pm B)^2 = A^2 \pm 2AB + B^2 (Nền tảng của Vi-ét).","Khai triển (x1 + x2)^2","1. Bỏ quên số hạng 2AB (Ra A^2 + B^2). 2. Sai dấu ở số hạng cuối cùng (Viết -B^2 thay vì +B^2). 3. Tính sai hệ số khi A, B có chứa số."
QUA-G8-02,8,Đại số,"Kỹ thuật thêm bớt hạng tử","Cộng và trừ cùng một lượng để xuất hiện Hằng đẳng thức.","Thêm bớt để tạo HĐT từ a^2 + b^2","1. Thêm vào nhưng quên trừ đi làm thay đổi giá trị biểu thức. 2. Thêm sai lượng (thêm ab thay vì 2ab). 3. Gom nhóm sai sau khi thêm bớt."
QUA-G8-03,8,Đại số,"Giải phương trình tích","Giải PT dạng A(x).B(x) = 0, ứng dụng khi Delta là bình phương đúng.","Giải (x-2)(x-3) = 0","1. Mở ngoặc nhân phân phối làm PT trở lại phức tạp. 2. Kết luận A=0 VÀ B=0 (sai logic HOẶC). 3. Chuyển vế sai khi giải PT bậc nhất con."
QUA-G8-04,8,Phân thức,"Quy đồng mẫu thức","Tìm mẫu chung x1.x2 và nhân chéo để rút gọn biểu thức đối xứng dạng phân số.","Quy đồng x2/x1 + x1/x2","1. Nhân chéo nhưng quên giữ lại mẫu thức chung. 2. Quy đồng sai tử (Ra (x1+x2)/(x1.x2)). 3. Rút gọn sai giữa tử và mẫu có phép cộng."
QUA-G7-01,7,Lũy thừa,"Bình phương của số âm","Hiểu bản chất (-a)^2 = a^2. Lũy thừa chẵn của số âm là số dương.","Tính (-4)^2","1. LỖI NGHIÊM TRỌNG NHẤT: Tính ra -16. 2. Không đóng ngoặc khi thay số (Ghi -4^2 thay vì (-4)^2). 3. Nhầm lẫn giữa bình phương và nhân 2 (-4*2 = -8)."
QUA-G7-02,7,Đại số,"Thay giá trị biểu thức","Thay ẩn x hoặc tham số m vào biểu thức đại số, đảm bảo quy tắc dấu ngoặc.","Thay m = -2 vào m^2 - 3m","1. Thay số âm nhưng không dùng dấu ngoặc đơn. 2. Thay thiếu vị trí của biến. 3. Tính toán sai do loạn dấu trừ."
QUA-G7-03,7,Giá trị tuyệt đối,"Tính chất của khoảng cách","Hiểu |A| >= 0 và |A|^2 = A^2. Ứng dụng giải biểu thức |x1 - x2|.","Rút gọn |x1 - x2|^2","1. Cho rằng |A|^2 = |A^2| gây phức tạp. 2. Khai căn bậc hai mà thiếu dấu giá trị tuyệt đối. 3. Phá trị tuyệt đối sai trường hợp."
QUA-G6-01,6,Số học,"Quy tắc nhân hai số nguyên","Cùng dấu nhân ra dương, trái dấu nhân ra âm. Ứng dụng tính -4ac.","Tính -4 * 2 * (-3)","1. Nhân 2 số âm ra số âm (Lỗi cực kỳ phổ biến khi tính Delta). 2. Bỏ qua dấu trừ thứ 3 nếu có. 3. Thực hiện phép trừ thay vì phép nhân."
QUA-G6-02,6,Số học,"Số đối của một số nguyên","Đổi dấu một số, bản chất của phép tính -b.","Tìm số đối của -7","1. Số đối của -7 vẫn là -7. 2. Viết -(-7) nhưng khi tính vẫn để dấu trừ. 3. Nhầm lẫn giữa số đối và phân số nghịch đảo."
QUA-G6-03,6,Số học,"Quy tắc chia hai số nguyên","Xác định dấu của thương số. Ứng dụng xét dấu của P = c/a.","Dấu của phép chia -5 cho 2 là?","1. Chia hai số khác dấu nhưng ghi kết quả dương. 2. Rút gọn phân số âm bị mất dấu trừ. 3. Cho rằng -c/a luôn là số âm bất chấp dấu của c và a."
QUA-G6-04,6,Số học,"Thứ tự thực hiện phép tính","Làm Lũy thừa -> Nhân/Chia -> Cộng/Trừ.","Tính 3^2 - 4.2.1","1. Lấy 3^2 - 4 trước rồi mới nhân 2 (Sai thứ tự kinh điển khi tính Delta). 2. Thực hiện từ phải sang trái. 3. Rối loạn khi có dấu ngoặc."
QUA-G6-05,6,Đại số,"Bất đẳng thức cơ bản","Hiểu A^2 >= 0 với mọi A. Ứng dụng chứng minh PT luôn có nghiệm.","Đánh giá m^2 + 1","1. Cho rằng m^2 có thể âm. 2. Đánh giá m^2 + 1 >= 0 thay vì chặt chẽ hơn là >= 1. 3. Khai triển sai HĐT rồi đánh giá sai."
QUA-G6-06,6,Đại số,"Khái niệm Ước số và Bội số","Ứng dụng tìm giá trị nguyên của m để biểu thức Vi-ét nguyên.","Tìm ước của 5","1. Quên xét các ước số âm (-1, -5). 2. Giải ra m nguyên nhưng không thử lại xem có thỏa mãn điều kiện Delta > 0 không. 3. Viết sai biểu thức chia hết."
GEO-G9-01,9,Góc với đường tròn,"Góc ở tâm","Nhận diện góc có đỉnh trùng với tâm đường tròn. Số đo bằng số đo cung bị chắn.","Xác định góc ở tâm chắn cung AB.","1. Gọi sai tên góc (gọi nhầm đỉnh trên đường tròn thành góc ở tâm). 2. Nhầm lẫn số đo góc và độ dài cung."
GEO-G9-02,9,Góc với đường tròn,"Góc nội tiếp","Nhận diện góc có đỉnh trên đường tròn, 2 cạnh chứa 2 dây. Số đo bằng nửa cung bị chắn.","Tính góc nội tiếp chắn nửa đường tròn.","1. Đỉnh nằm bên trong/ngoài đường tròn nhưng vẫn tưởng là góc nội tiếp. 2. Quên chia 2 số đo cung bị chắn. 3. Không nhận ra góc nội tiếp chắn nửa đường tròn là góc vuông."
GEO-G9-03,9,Góc với đường tròn,"Góc tạo bởi tiếp tuyến và dây cung","Góc có đỉnh trên đường tròn, 1 cạnh là tiếp tuyến, 1 cạnh là dây cung. Bằng nửa cung bị chắn.","Chỉ ra góc tiếp tuyến và dây cung chắn cung BC.","1. Kẻ tiếp tuyến nhưng vẽ góc với một đường thẳng bất kỳ không phải dây cung. 2. Không nhận ra góc này bằng góc nội tiếp cùng chắn một cung."
GEO-G9-04,9,Góc với đường tròn,"Mối liên hệ giữa các góc chắn một cung","Định lý: Góc nội tiếp và góc tạo bởi TT&DC cùng chắn 1 cung thì bằng nhau. Góc nội tiếp bằng nửa góc ở tâm.","Chứng minh góc ABx = góc ACB.","1. Ngộ nhận hình: Mắt nhìn thấy bằng nhau nên ghi luôn mà không chỉ ra cùng chắn cung nào. 2. Quên nhân 2 khi suy ngược từ góc nội tiếp ra góc ở tâm."
GEO-G9-05,9,Góc với đường tròn,"Góc có đỉnh bên trong/bên ngoài đường tròn","Xác định số đo góc bằng nửa tổng (bên trong) hoặc nửa hiệu (bên ngoài) 2 cung chắn.","Tính góc tạo bởi 2 cát tuyến cắt nhau ngoài (O).","1. Nhầm lẫn giữa dấu cộng (tổng) và dấu trừ (hiệu). 2. Xác định sai 2 cung bị chắn (đặc biệt khi cạnh đi qua tâm)."
GEO-G9-06,9,Tứ giác nội tiếp,"TGNT DH1: Tổng 2 góc đối bằng 180 độ","Nhận biết tứ giác có 2 góc ở vị trí đối diện cộng lại bằng 180 độ (Thường là 90 + 90).","Chứng minh tứ giác ABOC nội tiếp.","1. Ngộ nhận hình: Thấy góc có vẻ vuông nên cho luôn bằng 90 độ mà không chứng minh. 2. Cộng 2 góc kề nhau thay vì 2 góc đối nhau."
GEO-G9-07,9,Tứ giác nội tiếp,"TGNT DH2: Góc ngoài bằng góc trong đỉnh đối diện","Nhận biết hệ quả của DH1: Góc kề bù với góc trong sẽ bằng góc đối diện của nó.","Chứng minh góc ABx = góc ADC.","1. Xác định sai 'đỉnh đối diện' (chọn nhầm đỉnh kề). 2. Kéo dài cạnh sai hướng tạo ra góc ngoài bị sai."
GEO-G9-08,9,Tứ giác nội tiếp,"TGNT DH3: 2 đỉnh kề cùng nhìn 1 cạnh","Tứ giác có 2 đỉnh kề nhau cùng nhìn cạnh chứa 2 đỉnh còn lại dưới 2 góc bằng nhau.","Chứng minh tứ giác ABCD nội tiếp khi góc DAC = DBC.","1. Chỉ ra 2 góc bằng nhau nhưng chúng không cùng nhìn 1 cạnh (sai bản chất). 2. Liệt kê đỉnh tứ giác sai thứ tự (VD: ABDC thay vì ABCD). 3. Không vẽ đường chéo nên không nhìn ra góc."
GEO-G9-09,9,Tứ giác nội tiếp,"Định nghĩa 4 điểm cùng thuộc đường tròn","Chứng minh 4 điểm cách đều 1 điểm (tâm). Thường dùng khi có nhiều tam giác vuông chung cạnh huyền.","Chứng minh A, B, C, D cùng thuộc 1 đường tròn.","1. Không xác định được trung điểm cạnh huyền làm tâm. 2. Chứng minh các đoạn thẳng bằng nhau bị thiếu logic."
GEO-G9-10,9,Tứ giác nội tiếp,"Sử dụng Tứ giác nội tiếp để suy ra góc","Hành động ngược: Có TGNT rồi, kẻ đường chéo để suy ra 2 góc nội tiếp bằng nhau.","Từ tứ giác nội tiếp ABCD, suy ra góc ABD = ?","1. Suy ra 2 góc đối bằng nhau (sai lầm nghiêm trọng). 2. Chỉ nhìn được 1 chiều từ trái sang phải, không biết lật ngược lại."
GEO-G9-11,9,Đường tròn,"Tính chất 2 tiếp tuyến cắt nhau","Đoạn thẳng nối tâm đến giao điểm chia đôi góc, là trung trực của dây cung nối 2 tiếp điểm.","Chứng minh OA vuông góc BC.","1. Gọi sai tên tia phân giác (nhầm góc tạo bởi tiếp tuyến với góc ở tâm). 2. Lạm dụng tính chất này cho các đường không phải tiếp tuyến."
GEO-G9-12,9,Đường tròn,"Quan hệ vuông góc giữa Đường kính và Dây cung","Đường kính đi qua trung điểm của dây (không đi qua tâm) thì vuông góc với dây đó (và ngược lại).","Chứng minh OM vuông góc AB.","1. Quên điều kiện 'dây không đi qua tâm' khi dùng định lý đảo. 2. Ký hiệu vuông góc nhưng không lập luận."
GEO-G9-13,9,Hệ thức lượng,"Hệ thức lượng: Cạnh góc vuông và hình chiếu","b^2 = a.b' và c^2 = a.c' (Trong tam giác vuông có đường cao).","Tính AB biết BH = 2, BC = 8.","1. Không xét/chứng minh tam giác vuông trước khi áp dụng. 2. Quên bình phương cạnh góc vuông. 3. Lấy hình chiếu nhân với cạnh góc vuông còn lại (sai công thức)."
GEO-G9-14,9,Hệ thức lượng,"Hệ thức lượng: Đường cao","h^2 = b'.c' và 1/h^2 = 1/b^2 + 1/c^2.","Chứng minh AH^2 = BH.CH","1. Áp dụng cho tam giác thường không có góc vuông. 2. Lỗi Đại số khi tính 1/h^2 (không quy đồng mà nghịch đảo trực tiếp sai)."
GEO-G9-15,9,Chứng minh đẳng thức,"Chứng minh đẳng thức tích bằng Đồng dạng","Sử dụng tam giác đồng dạng lập tỉ số a/b = c/d rồi nhân chéo suy ra a.d = b.c.","Chứng minh AB.AC = AD.AE","1. BỆNH KINH NIÊN: Lập sai tỉ lệ thức từ tam giác đồng dạng (a/c = d/b). 2. Chọn sai 2 tam giác để đồng dạng (không chứa đủ các cạnh cần thiết)."
GEO-G9-16,9,Chứng minh đẳng thức,"Chứng minh đẳng thức thông qua đại lượng trung gian","Sử dụng tính chất bắc cầu: A.B = X.Y và C.D = X.Y => A.B = C.D (thường qua hệ thức lượng).","Chứng minh AE.AB = AF.AC","1. Không tìm được cạnh chung trung gian (như AH^2). 2. Viết quá dài dòng mà mất đi định hướng bắc cầu."
GEO-G8-01,8,Tam giác đồng dạng,"Trường hợp đồng dạng Góc-Góc (g-g)","Chỉ cần 2 cặp góc tương ứng bằng nhau (Quan trọng nhất để thi lớp 9).","Chứng minh tam giác ABC đồng dạng AED.","1. LỖI CHẾT NGƯỜI: Viết sai thứ tự đỉnh tương ứng (VD: ABC đồng dạng ADE thay vì AED). 2. Gọi sai tên góc (VD: chỉ ghi góc A thay vì BAC khi có nhiều tia). 3. Ngộ nhận 2 góc bằng nhau."
GEO-G8-02,8,Tam giác đồng dạng,"Trường hợp đồng dạng Cạnh-Góc-Cạnh (c-g-c)","2 cặp cạnh tỷ lệ và góc xen giữa bằng nhau. Thường dùng chứng minh đảo trong lớp 9.","Chứng minh tam giác ABC đồng dạng tam giác ADB.","1. Xét góc không nằm xen giữa 2 cạnh tỷ lệ. 2. Lập sai tỉ số các cạnh. 3. Vẫn viết sai thứ tự đỉnh."
GEO-G8-03,8,Tam giác đồng dạng,"Tỉ số đồng dạng và Tỉ số diện tích","Tỉ số chu vi bằng tỉ số đồng dạng, Tỉ số diện tích bằng bình phương tỉ số đồng dạng (k^2).","Tính tỉ số diện tích của 2 tam giác đồng dạng.","1. Cho rằng tỉ số diện tích bằng tỉ số đồng dạng k (quên bình phương). 2. Lấy tam giác nhỏ chia tam giác lớn bị lộn với ngược lại."
GEO-G8-04,8,Hình học tỷ lệ,"Định lý Thales thuận/đảo/hệ quả","Đường thẳng song song với 1 cạnh chia 2 cạnh kia thành các đoạn tương ứng tỉ lệ.","Tính tỉ số AD/DB.","1. Lập sai tỉ lệ (VD: AD/AB = AE/EC). 2. Dùng hệ quả (tính cạnh đáy song song) nhưng lại dùng tỉ số Thales của các đoạn cắt (AD/DB thay vì AD/AB)."
GEO-G8-05,8,Tam giác,"Tính chất Đường trung bình của tam giác","Đoạn nối 2 trung điểm song song với cạnh thứ 3 và bằng nửa cạnh đó.","Chứng minh MN song song BC.","1. Chỉ chứng minh đi qua 1 trung điểm mà quên trung điểm thứ 2. 2. Quên tính chất 'bằng một nửa', chỉ nhớ 'song song'."
GEO-G8-06,8,Tam giác vuông,"Định lý Pythagore Thuận và Đảo","a^2 = b^2 + c^2. Dùng tính độ dài hoặc chứng minh tam giác vuông.","Tính độ dài cạnh huyền.","1. Trừ sai khi tìm cạnh góc vuông. 2. Áp dụng Pythagore cho tam giác không vuông. 3. Quên khai căn kết quả cuối cùng."
GEO-G8-07,8,Tam giác,"Tính chất đường phân giác trong tam giác","Phân giác chia cạnh đối diện thành 2 đoạn tỉ lệ với 2 cạnh kề. (AB/AC = DB/DC).","Tính độ dài DB.","1. Lập tỉ số sai tương ứng (AB/DC = AC/DB). 2. Nhầm lẫn giữa phân giác và đường trung tuyến."
GEO-G8-08,8,Tứ giác,"Dấu hiệu nhận biết Hình chữ nhật","Tứ giác có 3 góc vuông, hoặc HBH có 1 góc vuông/hai đường chéo bằng nhau.","Chứng minh tứ giác có 3 góc vuông là HCN.","1. Lẫn lộn dấu hiệu hình bình hành và hình chữ nhật. 2. Chỉ chứng minh 2 góc vuông rồi kết luận luôn."
GEO-G7-01,7,Tam giác,"Trường hợp bằng nhau Cạnh-Cạnh-Cạnh (c-c-c)","3 cặp cạnh tương ứng bằng nhau.","Chứng minh 2 tam giác bằng nhau.","1. Ghi sai thứ tự đỉnh. 2. Nhìn nhầm độ dài bằng mắt thường."
GEO-G7-02,7,Tam giác,"Trường hợp bằng nhau Cạnh-Góc-Cạnh (c-g-c)","2 cạnh và góc xen giữa bằng nhau.","Chứng minh tam giác c-g-c.","1. Góc không xen giữa. 2. Đọc sai tên góc góc (ghi BAC thay vì ABC)."
GEO-G7-03,7,Tam giác,"Trường hợp bằng nhau Góc-Cạnh-Góc (g-c-g)","1 cạnh và 2 góc kề cạnh đó bằng nhau.","Chứng minh tam giác g-c-g.","1. Lấy 2 góc không kề với cạnh được chọn. 2. Nhầm lẫn với trường hợp đồng dạng g-g."
GEO-G7-04,7,Góc & Đường thẳng,"Góc đối đỉnh","2 góc tạo bởi 2 đường thẳng cắt nhau, số đo bằng nhau.","Chỉ ra 2 góc đối đỉnh.","1. 2 tia không phải là tia đối của nhau nhưng vẫn nhận là đối đỉnh (góc bị gãy). 2. Gọi tên góc thiếu chính xác."
GEO-G7-05,7,Góc & Đường thẳng,"Góc So le trong / Đồng vị","Được tạo bởi 1 đường cắt 2 đường song song. Hai góc bằng nhau.","Chứng minh a song song b.","1. Cho rằng so le trong luôn bằng nhau dù 2 đường thẳng không song song. 2. Nhầm lẫn vị trí so le trong và đồng vị."
GEO-G7-06,7,Góc & Đường thẳng,"Quan hệ từ vuông góc đến song song","Hai đường thẳng cùng vuông góc với đường thứ ba thì song song với nhau.","Chứng minh a // b vì cùng vuông góc c.","1. Trình bày thiếu bước (chỉ ghi a vuông c, b vuông c mà thiếu chữ 'suy ra a // b'). 2. Nhầm lẫn thành 3 đường vuông góc."
GEO-G7-07,7,Đường đồng quy,"Trực tâm của tam giác","Giao điểm của 3 đường cao. Cực kỳ quan trọng để tạo ra Tứ giác nội tiếp.","Chứng minh H là trực tâm tam giác ABC.","1. Nhầm trực tâm với trọng tâm (giao điểm trung tuyến). 2. Nghĩ rằng trực tâm luôn nằm trong tam giác (tam giác tù thì trực tâm nằm ngoài)."
GEO-G7-08,7,Đường đồng quy,"Trọng tâm và Tâm đường tròn ngoại tiếp","Trọng tâm: chia trung tuyến tỉ lệ 2:1. Tâm O: Giao điểm 3 đường trung trực.","Tìm vị trí trọng tâm G.","1. Lấy tỉ lệ 1/2 thay vì 2/3 đối với đoạn từ đỉnh đến trọng tâm. 2. Nhầm giao điểm đường cao làm tâm đường tròn ngoại tiếp."
GEO-G7-09,7,Tam giác đặc biệt,"Tính chất Tam giác cân","Hai cạnh bên bằng nhau, hai góc đáy bằng nhau, đường cao đỉnh trùng đường phân giác/trung tuyến/trung trực.","Chứng minh tam giác ABC cân tại A.","1. Có 1 góc bằng 60 độ vội kết luận đều (thiếu cân). 2. Áp dụng tính chất đường cao chia đôi cạnh đáy cho tam giác thường."
GEO-G7-10,7,Tam giác,"Tổng 3 góc trong một tam giác","Tổng 3 góc bằng 180 độ. Dùng tính góc phụ nhau trong tam giác vuông.","Tính góc C khi biết góc A và góc B.","1. Cộng trừ số học sai. 2. Áp dụng tổng tứ giác 360 độ nhầm cho tam giác."
GEO-G7-11,7,Góc & Đường thẳng,"Góc kề bù","Hai góc có 1 cạnh chung, 2 cạnh kia là tia đối. Tổng bằng 180 độ.","Tính góc ngoài của tam giác.","1. 2 cạnh không phải tia đối nhưng vẫn cho tổng = 180 (do nhìn hình giống 1 đường thẳng). 2. Nhầm lẫn kề bù và phụ nhau (90 độ)."
